Index,Course,School,Number,Title,Description
4240,HK 56700,HK,56700,Epidemiology For Public Health Practice,"This course presents the fundamental principles, methods, and applications of epidemiology, including the quantification of morbidity, mortality, and disease risk. Epidemiologic study designs and the use of public health vital statistics, disease transmission evidence, and risk assessment data are explored. Historically significant epidemiological cases provide a framework for the application of ethical principles to epidemiologic research. This course meets the epidemiology core competency requirement for the Master's in Public Health (MPH) degree."
4241,HK 56800,HK,56800,Advanced Exercise Physiology,The study of selected concepts and principles of physiology as they relate to the exercising human.
4242,HK 57200,HK,57200,Sport In American Culture,"Survey and critique of major sociological concepts, theoretical and methodological perspectives as they apply to dimensions of human play and sport. Class activity will include field experiments utilizing basic sociological methods."
4243,HK 57400,HK,57400,Advanced Exercise Psychology,"This course is designed to examine psychological issues and theories related to exercise, the promotion of regular physical activity and active lifestyles. Emphasis is placed on the factors related to physical activity, health behavior theories, and the psychological and emotional consequences of exercise and physical activity. Key methodological considerations in behavioral health research will also be highlighted."
4244,HK 57600,HK,57600,Diversity And Health,"This course is designed to examine the health status and the politics of representation of the U.S. ethnic minorities (e.g., African Americans, Latinos, Asian Americans, Native Americans, Alaskans, etc.). Emphasis is placed on factors that influence health and health-related behaviors. The course is intended to provide students with an overview of historical, political, social, and cultural factors related to the health behavior and status of minority groups in American society."
4245,HK 59000,HK,59000,Special Topics In Health And Kinesiology,"to 3.00. Individualized readings, topics, or projects in health and kinesiology appropriate for graduate students. Permission of instructor required."
4246,HK 60000,HK,60000,Individual Research And Study,"to 3.00. Each student studies a problem of interest related to physical education, health, or recreation. Permission of instructor required."
4247,HK 60100,HK,60100,HK PhD Seminar,"This course is the first of a required two-course sequence for first-year health and kinesiology doctoral students. The course is designed to socialize students into the worlds of science, graduate education, and health and kinesiology research and practice. Particular emphasis is placed on the responsible conduct of research, shared and unique expectations of graduate students and mentors across various health and kinesiology subdisciplines, professional development, and the nurturing of academic community. Prerequisite: Incoming health and kinesiology doctoral students qualify for and are required to complete this course. Permission of department required."
4248,HK 60200,HK,60200,HK PhD Seminar II,"This course is the second of a required two-course sequence for first-year health and kinesiology doctoral students. The course is designed to expose students to classic works in health and kinesiology subdisciplines, address professional development issues, and help students formulate a curricular and research program to structure the doctoral experience. Particular emphasis is placed on the interdisciplinary nature of health and kinesiology and becoming an active member of the research community. Permission of department required."
4249,HK 61000,HK,61000,"Research Methods In Health, Physical Education, And Recreation","Application of research methodology to problems in health, physical education, and recreation. Prerequisite: 3 credit hours in Statistics. Permission of instructor required."
4250,HK 61100,HK,61100,Data Analysis In Health And Kinesiology,"This student-driven course addresses a variety of data analysis issues in health, kinesiology, and related fields (e.g., education, psychology). The course will overview the types of data prominent in health and kinesiology research, how these data are obtained and handled by researchers, measurement/evaluation issues, and ways to present and analyze data. Heavy emphasis is placed on matching research questions and conceptualization with data analysis techniques, obtaining familiarity with widely-used data analysis software, analyzing multivariate data sets, and constructing high-quality results sections in journal manuscript format. Prerequisites: STAT 50100, STAT 50200 and access to a data set pertaining to one's area of research are expected. Permission of instructor required."
4251,HK 66800,HK,66800,Seminar In Exercise Physiology,Review of literature; design and conduct of research in an area of current interest in exercise physiology. Permission of instructor required.
4252,HK 66900,HK,66900,Exercise Metabolism And Biochemistry,"This course is designed to provide students with practice using basic laboratory skills which can then be applied to more sophisticated techniques in biochemical analysis. The course is a laboratory-based class and will provide considerable ""hands on"" experience. Lectures will focus on laboratory procedures, calculations, common lab problems and solutions, and laboratory safety procedures. Most of these measures will be made using an exercise context, i.e., standard exercise physiology tests (VO2 max, Wingate tests, etc.) will be performed to allow us to acquire blood samples for analysis. Prerequisites: HK 56800 or permission of the instructor."
4253,HK 67000,HK,67000,Advanced Topics In Motor Control,Selected topics in motor control. The subject matter will be data-based and drawn from research literature encompassing behavioral and physiological experimental paradigms. Students will critically evaluate and synthesize research to better understand the integration of individual systems in sensorimotor processing. Permission of instructor required.
4254,HK 67200,HK,67200,"Stress And Coping In Sport, Exercise And Physical Activity","This course examines stress, coping, and emotional processes as they relate to sport, exercise, physical activity, and the physical self. We will explore theoretical perspectives on stress and coping processes, examine the empirical evidence related to sport/exercise/physical activity/rehabilitation/physical self, and discuss applications of this knowledge. Course readings will cover topics including the history and conceptual issues of psychosocial stress, conceptual and methodological issues of coping, individual differences in stress and coping, the influence of sociocultural and contextual factors, and vulnerability and resilience. Prerequisite: HK 57400."
4255,HK 67400,HK,67400,Special Topics In Sport And Exercise Psychology,"An in-depth analysis of specific areas of theoretical and empirical work in sport or exercise psychology. Emphasis is placed on the critique, integration, and application of the literature reviewed. Rotating topics. Prerequisite: HK 57400."
4256,HK 67800,HK,67800,Motivational Processes In Sport And Exercise,"Seminar focused on motivation in sport and exercise settings. Antecedents and consequences of motivated behavior are examined from theoretical, research, and application perspectives. Topics include participation motivation in sport, intrinsic/extrinsic orientations, achievement goals, causal attributions, group processes, and exercise motivation. Prerequisite: HK 57400."
4257,HK 68600,HK,68600,Theories And Concepts Of Stress Management,"Development of a conceptual understanding of stress and stress management. A seminar focused on the review of literature regarding psychophysiology of stress, relationship between stress and disease, and methods of preventing/relieving stress, models of stress research, and issues surrounding stress research methodology. Prerequisite: BIOL 20300, BIOL 20400. Permission of instructor required."
4258,HK 68800,HK,68800,Health Policy In The United States,"Examines the formation, implementation, and evaluation of health policies, with emphasis on the legislative and regulatory processes that are involved. Discusses legislation in areas specific to public health promotion. Students are encouraged to consider their role in future policy initiatives. Permission of instructor required."
4259,HK 69000,HK,69000,Advanced Studies,to 6.00. Topic and credit to be arranged. Individual study for the doctoral student. Permission of instructor required.
4260,HK 69800,HK,69800,Research MS Thesis,to 18.00. Research MS Thesis. Permission of instructor required.
4261,HK 69900,HK,69900,Research PhD Thesis,to 18.00. Research PhD Thesis. Permission of instructor required.
4262,HSCI 10100,HSCI,10100,Introduction to the Health Sciences Professions,"This course will present an overview of the fields in both the preventive, Public Health, as well as the clinical, Private Health, sides of the Allied Health Science Professions as it presents the holistic nature of health maintenance. Students will have the opportunity to hear from health professionals practicing in the allied health and preprofessional concentrations as well as from School of Health Sciences faculty in their areas of expertise in the fields of industrial hygiene, ergonomics, radiological sciences, toxicology and environmental health science."
4263,HSCI 11000,HSCI,11000,Careers And Research In Occupational And Environmental Health,The goal of this course is to familiarize students to the variety of research and careers available within the broad field of environmental and occupational health. The course will focus on two areas: current research in occupational and environmental health and careers in occupational and environmental health. This content will be delivered through interactive lectures and discussions with a variety of guest speakers as well as HSCI faculty. Advice and guidance on applying for internships/jobs in the field will also be provided. A highlight of the event is a student/professional networking event which will be coordinated towards the end of the program.
4264,HSCI 13000,HSCI,13000,Introduction To Medical Laboratory Science,"An introduction to career opportunities in medical technology. Preprofessional and professional requirements. A survey of the major clinical laboratory departments and their applications to patient care and management. Discussion and interpretation of some of the major diagnostic tests, i.e., for cardiac enzymes, cholesterol, blood cells, diabetes, and drug monitoring."
4265,HSCI 13100,HSCI,13100,Introduction To Medical Terminology,"This self-paced learning course is designed to familiarize the student with terms used in medicine. Each body system will be studied individually. Word roots, prefixes, and suffixes will be used to build words relating to the system. Diagnostic and symptomatic terms will be introduced."
4266,HSCI 19000,HSCI,19000,Special Topics,"to 8.00. Special topics, projects, or readings in selected areas of health sciences at a level appropriate for freshmen students. Permission of instructor required."
4267,HSCI 19501,HSCI,19501,School Of Health Sciences Freshman Honors Seminar,"This course is for Freshman students in the School of Health Sciences Honors Program. This course consists of a 50 minute weekly seminar meeting designed to orient and familiarize Freshman HSCI Honors students with the School of Health Sciences including research areas and current topics in public health and biomedical research. Students will interact with guest speakers and expand their knowledge base in health science research. In addition to the seminar, students will be matched to a faculty mentor in a research area of their interest during the fall semester. Students will develop and design a research project with their faculty mentor (to be conducted in HSCI 19601 during the spring semester). In the spring semester, students will enroll in the seminar series (HSCI 19501) and in the research project course (HSCI 19601) to complete their project. Each student will be responsible for presenting and reporting on their research project during the spring seminar series. Permission of departmental required."
4268,HSCI 19601,HSCI,19601,School Of Health Sciences Freshman Honors Project,"This course is for Freshman students in the School of Health Sciences Honors Program. In this course students will earn credit for work completed on their Honors Project under supervision of their faculty mentor. Students enroll in this course during the spring semester concurrently with HSCI 19501. During the fall semester in HSCI 19501, students will be matched to a faculty mentor in the research area of their choice and complete a Project Description Form based upon the work to be completed during this course. Course meeting times and frequency are to be set by the student and faculty mentor with an estimated commitment of 3-4 hours per week. Hours are to be arranged between the student and the faculty mentor, with at least weekly or biweekly meetings set aside for a one-on-one session between the student and faculty mentor. Some students may also be matched to professional mentors off campus depending on their interests and future goals. The regular meeting times should be set during the first week of class. Working hours must not conflict with other course obligations or consume too much of students' study time. Permission of department required."
4269,HSCI 20100,HSCI,20100,Principles of Public Health Science,"This course begins with a definition of public health and a review of its history and its role in disease prevention. The basic tools of public health practice, vital statistics and epidemiology, are then presented. After gaining an understanding of how these tools are used in assessing the health status of a community, the etiology and control of infectious and non-infectious threats to our health will be examined. The course concludes with risk analysis as a basis for public health policy determination."
4270,HSCI 20200,HSCI,20200,"Essentials Of Environmental, Occupational, And Radiological Health","rs: 3.00. This course is designed to introduce the essential concepts of Environmental, Occupational, and Radiological Health Science. The principles of these three fields including the environmental impacts on human health"
4271,HSCI 22000,HSCI,22000,Principles Of Central Services Technology,"This is a correspondence course for central service personnel and operation room infection control and material management employees. Incorporates major issues related to central service such as infection control, instrumentation, packaging, chemical disinfection, ethylene oxide, steam and dry heat sterilization, and preparation of external solutions."
4272,HSCI 22500,HSCI,22500,Healthcare Leadership And Safety,"This course will present topics related to effective leadership and management strategies within an organization. The course will focus on implementation of these strategies from a health and safety perspective. Specific leadership and management topics to be discussed include communication strategies, motivation, conflict management, negotiation, ethics, and professional development. In addition, important safety topics, such a fire & life safety, workplace violence, terrorism, hazard communication, and slip & fall hazards will also be addressed."
4273,HSCI 29000,HSCI,29000,Special Topics,"to 8.00. Special topics, projects, or readings in selected areas of health sciences at a level appropriate for sophomore students. Permission of instructor required."
4274,HSCI 29501,HSCI,29501,School Of Health Sciences Sophomore Honors Seminar,"This course is for sophomore students in the School of Health Sciences Honors Program. This course consists of a 50 minute weekly seminar meeting to discuss current topics in health science, public health, and biomedical research. Students will interact with guest speakers and expand their knowledge base in health sciences research. In addition, each student will be responsible for presenting and reporting on their ongoing honors research project. Permission of department required."
4275,HSCI 29601,HSCI,29601,School of Health Sciences Sophomore Honors Project,"This course is for Sophomore students in the School of Health Sciences Honors Program. In this course students will earn credit for work completed on their Honors Project under supervision of their faculty mentor. Students enroll in this course in both fall and spring semesters (concurrently with HSCI 29501 in the spring semester). An updated Project Description Form will be due at the beginning of each semester based on the progress and any changes to the research plan. Course meeting times and frequency are to be set by the student and faculty mentor with an estimated commitment of 3-4 hours per week. Hours are to be arranged between the student and the faculty mentor, with at least weekly or biweekly meetings set aside for a one-on-one session between the student and faculty mentor. Some students may also be matched to professional mentors off campus depending on their interests and future goals. The regular meeting times should be set during the first week of class. Working hours must not conflict with other course obligations or consume too much of students' study time. Permission of department required."
4276,HSCI 30500,HSCI,30500,Basics Of Oncology,"This course will introduce the student to the biology of cancer and some basics of oncology. Focus will be placed on what makes cancer different from normal tissues and how those differences can be leveraged for diagnostic and treatment purposes. This course will touch on topics of epidemiology, cancer biology, common therapeutic and diagnostic approaches, and other considerations of cancer care."
4277,HSCI 31000,HSCI,31000,Imaging In Medicine,"This course will introduce students to develop essential understandings of all primary medical imaging techniques utilized in hospitals such as Computer tomography, X-ray imaging, MRI, Ultrasound and Nuclear medicine imaging modalities. The course will cover basic scientific principles of each modality and introduce their underlying clinical requirements and applications. In addition, this course introduces the student to human anatomy as seen in the transverse, coronal, and sagittal planes. Anatomy of the brain, thorax, abdomen, and pelvis will be studies using CT and MRI images. Normal anatomy, anatomic variants, and selected pathologies will be discussed in the various body regions."
4278,HSCI 31200,HSCI,31200,Radiation Science Fundamentals,"This course introduces principles and concepts related to nuclear energetics, radioactive decay, the interactions of ionizing radiation with matter, and the human health effects of exposure to ionizing radiation. Fundamental concepts related to atomic and sub-atomic physical processes as well as relevant aspects of modern physics are briefly reviewed. Students gain practical experience and enhance their understanding of radiation protection by participating in a radiological emergency response exercise (RERE)."
4279,HSCI 31300,HSCI,31300,Principles Of Radiation Detection And Measurement,"Course presents an introduction to the principles of radiation detection and measurement, including statistical models, counting statistics, error analysis, detection limits, ionization chambers, proportional counters, GM counters, scintillation counters, gamma-ray spectroscopy, solid-state detectors, TLDs, track-etch and bubble detectors."
4280,HSCI 33300,HSCI,33300,Introduction To Immunology,"Introduction to Immunology will meet twice weekly and provide an overview of this evolving field of science with an emphasis on the clinical implications and application of learned knowledge. The immunologic mechanisms associated with the normal and abnormal immune response will be discussed and students will put this knowledge into practice by directing their own case study. In addition, a number of common clinical concerns with respect to immunity will be reviewed. Furthermore, we will explore the critical role our knowledge of this branch of science plays in patient diagnosis, treatment and care both now and in the future."
4281,HSCI 34500,HSCI,34500,Introduction To Occupational And Environmental Health Sciences,"Principles of occupational health (industrial hygiene) and environmental health as related to anticipation, recognition, evaluation, and control of hazards in the workplace and the surrounding community. Emphasis is on hazards of chemicals and their role in occupationally and environmentally related diseases. Historical basis and current legislation are discussed. In addition, the principles of epidemiology, toxicology, exposure standards, and respiratory protection are addressed."
4282,HSCI 34600,HSCI,34600,Industrial Hygiene Engineering Control,"Study of the various techniques needed to control hazards in the workplace. Major emphasis is placed on developing a working understanding of industrial ventilation, including basic principles of fluid flow, hood and duct design, and system balancing. Effects and control of the physical hazards of noise, vibration, and heat stress are addressed. A field trip to a major industry summarizes the course material."
4283,HSCI 34800,HSCI,34800,Industrial Hygiene Instrumentation Techniques,"Sophisticated field and laboratory instrumentation and techniques, sampling methodology for organic vapors, dust, fibers, noise, and heat; calibration and validation techniques; emphasis on critical analysis of data."
4284,HSCI 35300,HSCI,35300,Occupational Safety Management And Culture,"The Occupational Health and Safety Manager assumes a critical role within an organization protecting the employees from suffering work-related injuries, illnesses, and fatalities. This job requires a number of approaches to achieve this aim, including employee training, hazard identification and abatement, safety policy development, and incident investigation. The health and safety manager often forms a bridge between upper management and front line employees. As such, the successful health and safety manager needs skill sets which transfer across organizational levels. This course will explore strategies managing an effective health and safety program within an organization. Management strategies will be viewed from multiple perspectives. In relation to the front line employee, topics will be explored to help engage employees in safe behaviors and dealing with situations in which failures occur, resulting in accidents. The upper management perspective will focus on the establishment of a safety management system and effective techniques for measuring and reporting safety performance. A final perspective will consider both the front line employee and upper management. This perspective will explore strategies to establish a positive safety culture within an organization to bring the front line employees and upper management together in their vision of a safe and healthy workplace."
4285,HSCI 39000,HSCI,39000,Special Topics,"to 8.00. Special topics, projects, or readings in selected areas of health sciences at a level appropriate for junior students. Permission of instructor required."
4286,HSCI 39501,HSCI,39501,School Of Health Sciences Junior Honors Seminar,"This course is for Junior students in the School of Health Sciences Honors Program. This course consists of a 50 minute weekly seminar meeting to discuss current topics in health science, public health, and biomedical research. Students will interact with guest speakers and expand their knowledge base in health sciences research. In addition, each student will be responsible for presenting and reporting on their ongoing honors research project. Permission of department required."
4287,HSCI 39601,HSCI,39601,School Of Health Sciences Junior Honors Project,"This course is for Junior students in the School of Health Sciences Honors Program. In this course students will earn credit for work completed on their Honors Project under supervision of their faculty mentor. Students enroll in this course in both the fall and spring semesters (and concurrently with HSCI 39501 in the spring semester). An updated Project Description Form will be due at the beginning of each semester based on the progress and any changes to the research plan. Course meeting times and frequency are to be set by the student and faculty mentor with an estimated commitment of 3-4 hours per week. Hours are to be arranged between the student and the faculty mentor, with at least biweekly meetings set aside for a one-on-one session between the student and faculty mentor. Some students may also be matched to professional mentors off campus depending on their interests and future goals. The"
4288,HSCI 40000,HSCI,40000,International Special Topics,to 8.00. Courses taken during an International experience that is recognized by the University. Permission of Department required.
4289,HSCI 41500,HSCI,41500,Introduction To Nuclear And Radiological Source Security,"The course focuses on the basic elements of nuclear and radiological source security. It examines methods for planning and evaluating nuclear security activities at the state and facility level, establishing nuclear security culture in different types of nuclear and radiological installations, and examines nuclear cyber and information security measures. Issues and approaches for nuclear security concerns, both state-level (e.g., nonproliferation and deterrence) and asymmetric concerns (e.g., nuclear smuggling and nuclear terrorism) will be addressed. Group exercises and simulations in applied nuclear security scenarios will complement lectures. This course is designed for both ""technical"" (engineering and science) and ""non-technical"" (policy) students and the interaction between students of different backgrounds is encouraged."
4290,HSCI 42000,HSCI,42000,Applied Anatomy For Medicine,"With a focus on preparing students to be practitioners of health sciences, Applied Anatomy for Medicine (HSCI 42000) will build upon the foundational knowledge of form and function obtained in prerequisite courses through enhancement of the relationship between bony structures, musculature, innervation, vascular perfusion, and interconnectedness with respect to human health. The significance of regional anatomy and important anatomical landmarks from a clinical perspective will be learned. The incorporation of student driven dissection will promote a more comprehensive understanding of the correlation between structure, function, dysfunction and disease signalments. The integration of clinical application and case study investigation will facilitate the transition from learner to practitioner."
4291,HSCI 43800,HSCI,43800,Reactor Health Physics,"Concepts of health physics as related to nuclear power and research reactors, sources and prevention of exposure, design and operational criteria for meeting ALARA exposure limits, criticality dosimetry, reactor monitoring limits, design and operation of environmental surveillance programs around nuclear power stations, reactor site criteria, licensing and regulations, downwind dose assessment, credible accidents and risk analysis, and emergency planning."
4292,HSCI 44500,HSCI,44500,Industrial Hygiene Internship,"Discussion class based on applied work experience as an industrial hygiene assistant or technician at an industrial, consulting, hospital, government, or education and research institution. Topics covered also include professional and ethical aspects derived from students' work experiences. Written and oral reports as well as other classroom assignments. Restricted to industrial hygiene majors who have completed an acceptable industrial hygiene work experience."
4293,HSCI 44600,HSCI,44600,Applied Industrial Hygiene,This course allows the student to synthesize his or her basic industrial hygiene fundamentals to understand how they apply in the real world. Issues faced by industrial hygienists will be addressed by a variety of guest speakers. Class projects add to the diversity of this senior capstone course.
4294,HSCI 45100,HSCI,45100,Clinical Biochemistry,"to 10.00. This course is designed to provide principles of biochemistry for clinical application for medical technologists. The course encompasses an introduction to carbohydrate, amino acid, and lipid metabolism. Also included are lectures on basic endocrinology, enzymes, and biosynthesis of steroid hormones. Physiological principles are stressed with respect to liver, lung, and kidney function. Special emphasis is placed on correlation of the theoretical and clinical areas."
4295,HSCI 45200,HSCI,45200,Clinical Chemistry,"to 10.00. This course is designed to provide the medical technologist with the principles and application of clinical chemistry. Methods of instrumental analysis include a variety of automated procedures, electrophoresis, immunoelectrophoresis, immunodiffusion, radioisotopes, steroids, hormone assay, and toxicology. Quality control for clinical chemistry is included. Supervised clinical laboratory experience is offered, with students rotating through the various areas of clinical chemistry on a sequential rotational basis."
4296,HSCI 45300,HSCI,45300,Clinical Hematology,"to 10.00. Study of the functions, maturation, and morphology of blood cells. Blood cells, platelets, and reticulocyte counting procedure. Experiences in the study of cellular content of other body fluids are offered. Lectures and laboratory are designed to teach techniques of sedimentation rates, hematocrits, corpuscular indices, hemoglobin red cell fragility, and special staining procedures. Also, routine and special coagulation studies are taught. Supervised experience in clinical hematology offers opportunities for study in routine and special hematology and coagulation procedures."
4297,HSCI 45400,HSCI,45400,Clinical Immunohematology,"to 10.00. A review of serologic principles and technical fundamentals of transfusion practice; a comprehensive consideration of all blood groups, with emphasis on ABO and Rh-Hr blood group systems. Extensive practice is gained in pre-transfusion techniques and antibody identification in the laboratory. Other blood types and antigen-antibody relationships are taught in laboratory and lectures. Also included are blood donor room procedures; preparation of blood components; correlation of blood component therapy with disease states; quality control of all reagents, procedures, and equipment used; and laboratory safety measures, all of which offer the best patient care and protection of laboratory personnel."
4298,HSCI 45500,HSCI,45500,Clinical Microbiology,"to 10.00. Lectures and clinical laboratory experience in diagnostic procedures as aids to the diagnosis of human disease. Proper selection of techniques for the isolation and identification of medically important bacteria. Special emphasis is placed on newer methods for anaerobic bacteria identification. Also includes lectures and laboratory identification in the fields of mycology and microbacteriology, with emphasis on isolation and identification. Practical applications of fluorescent antibody tests are performed."
4299,HSCI 45700,HSCI,45700,Clinical Parasitology,"to 10.00. Techniques of specimen examination, identification of cysts and ova, life cycles of parasites."
4300,HSCI 45800,HSCI,45800,Clinical Serology,"to 10.00. Lectures and a laboratory experience in serology, including the preparation of antigen, flocculation tests for syphilis, heterophile antibody tests, creative proteins, RA test, FTA, rubella testing. Also included are lectures in immunology that include classifications of immunoglobulins; mechanism of antibody formation; immune response; types of antigen-antibody reactions; and theories of radioimmunoassay."
4301,HSCI 46000,HSCI,46000,Clinical Urinalysis,"to 10.00. Routine analysis, chemical tests, sediment identification, renal function tests, pregnancy tests."
4302,HSCI 46500,HSCI,46500,Introduction To Laboratory Education And Management,"to 3.00. A study of the principles and techniques of clinical instruction, and inservice and continuing education as well as administration and supervision."
4303,HSCI 46900,HSCI,46900,Clinical Instrumentation And Laboratory Techniques,to 8.00. A study of the principles of instrumental analysis used in clinical laboratories.
4304,HSCI 48500,HSCI,48500,Health Physics Internship,"to 8.00. Applied work experience as a health physics assistant or technician at a nuclear power generating station, government laboratory, hospital, or education and research institution. Permission of instructor required."
4305,HSCI 49000,HSCI,49000,Special Topics,"to 8.00. Special topics, projects, or readings in selected areas of health sciences at a level appropriate for senior students. Permission of instructor required."
4306,HSCI 49200,HSCI,49200,Professional Experience In Health Sciences Internship,"to 3.00. Professional experience in Health Sciences. This experiential offering is coordinated by Health Sciences in cooperation with participating employers. Students will submit company evaluations related to the experience or summary reports and assignments related to professional development in Occupational, Environmental or other Health Sciences areas. Permission of department is required."
4307,HSCI 49501,HSCI,49501,School Of Health Sciences Senior Honors Seminar,"This course is for Senior students in the School of Health Sciences Program. This course consists of a 50 minute weekly seminar meeting to discuss current topics in health science, public health, and biomedical"
4308,HSCI 49601,HSCI,49601,School Of Health Sciences Senior Honors Project,"This course is for Senior students in the School of Health Sciences Honors Program. In this course students will earn credit for work completed on their Honors Project under supervision of their faculty mentor. Students will enroll in this course in both fall and spring semesters (and concurrently with HSCI 49501 in the spring semester). An updated Project Description Form will be at the beginning of each semester based on the progress and any changes to the research plan. Course meeting times and frequency are to be set by the student and faculty mentor with an estimated commitment of 3-4 hours per week. Hours are to be arranged between the student and the faculty mentor, with at least weekly or biweekly meetings set aside for a one-on-one session between the student and faculty mentor. Students may also be matched to professional mentors off campus depending on their interests and future goals. The regular meeting times should be set during the first week of class. Working hours must not conflict with other course obligations or consume too much of students' study time. Permission of department required."
4309,HSCI 51400,HSCI,51400,Radiation Instrumentation Laboratory,Laboratory techniques required for the application of radiation and radionuclides.
4310,HSCI 51500,HSCI,51500,Introduction To Nuclear And Radiological Source Security,"This course focuses on the basic elements of nuclear and radiological source security. It examines methods for planning and evaluating nuclear security activities at the State and facility level, establishing nuclear security culture in different types of nuclear and radiological installations, and examines nuclear cyber and information security measures. Issues and approaches for nuclear security concerns, both state-level (e.g., nonproliferation and deterrence) and asymmetric concerns (e.g., nuclear smuggling and nuclear terrorism) will be addressed. The integration of safety and security and the use of alternative technologies will also be covered. Group exercises and simulations in applied nuclear security scenarios will complement lectures given by a number of national and international experts. This course is designed for both ""technical"" (engineering and science) and ""non-technical"" (policy) students and the interaction between students of different backgrounds is encouraged."
4311,HSCI 51600,HSCI,51600,Molecular Imaging-Nuclear Medicine,"This course is related to molecular imaging by SPECT (single-photon emission computed tomography) and/or PET (positron emission tomography). This course is particularly useful for graduate and senior undergraduate students in the medical physics programs. It has been offered to MP and HP graduate students over the last 4 years (2014 - 2018) as a part of the 3-credit molecular imaging course with magnetic resonance spectroscopy (MRS: 1-credit) taught by Dr. Ulrike Dydak, computed tomography (CT: 1-credit) taught by Dr. Keith Stantz, and nuclear medicine (NM: 1-credit) taught by Dr. Shuang Liu. In the future, it will be expanded the ""Nuclear Medicine"" section as a 2-credit course on the basis on the previous lectures. This course focuses on recent development in nuclear medicine techniques for noninvasive imaging of brain diseases, cancer, and heart diseases. This course is delivered as 50-min lectures twice a week. Students are expected to spend more time for homework and literature reading."
4312,HSCI 52000,HSCI,52000,Risk Assessment In Environmental Health,"Risk assessment as used in environmental health is the scientific process used to determine the extent of human exposure to an environmental hazard, and the type and quantify of health effects that are likely to result from these exposures. Information derived from risk assessments are used as the basis for setting regulatory guidelines, determinations of whether a given situation is ""safe"" or ""hazardous"" throughout government and industry. This course will cover the process and steps needed to performing a risk assessment, how risk communication can be used to discuss results of a risk assessment, and the use of risk management as a tool to translate results of a risk assessment into policy."
4313,HSCI 52600,HSCI,52600,Principles Of Health Physics And Dosimetry,"Principles of health physics, radiation dosimetry, and radiation shielding. Topics covered include natural and man-made radiation environments, operational radiation quantities and units, radiation protection philosophy, risk and dose limits, dose-response models, mortality estimates and risk calculations."
4314,HSCI 53400,HSCI,53400,Applied Health Physics,"Lecture and case studies related to the application of radiation dosimetry and shielding principles to the practice of health physics, including environmental and in-plant monitoring, emergency response, decommissioning and decontamination, operational criteria for meeting ALARA exposure limits, and the transport, disposal and treatment of radioactive waste. Epidemiological studies related to radiological accidents and nuclear power are also examined."
4315,HSCI 54000,HSCI,54000,Radiation Biology,"Effects of ionizing radiation on living systems at the molecular, cellular and tissue levels. Biological basis for radiation therapy treatment planning and radiation protection."
4316,HSCI 54500,HSCI,54500,Advanced Topics In Exposure Assessment,"Current research and practice in human environmental exposure assessment including homogeneous exposure groups, job-task modeling, physiologically-based pharmacokinetic and modeling of exposure and dose, biological markers of exposure, statistical issues, exposure assessment in epidemiology, and risk assessment. Students and faculty present readings and lead discussions. Permission of instructor required."
4317,HSCI 54600,HSCI,54600,Advanced Industrial Hygiene Control Technology,"Students and faculty present readings and lead discussions on current research and practice in industrial hygiene control technology, including general control strategy, personal protective equipment, and ventilation. Students conduct self-paced, step-wise solutions to practical case studies. Ventilation design software is used to solve design problems. Permission of instructor required."
4318,HSCI 54700,HSCI,54700,Fundamentals Of Epidemiology,"This course is an introduction to epidemiology, which is the study of the patterns, causes, and impact of disease in populations. Epidemiology is increasingly important for public health and clinical medicine research and policy. This course will discuss the basic principles and methods of epidemiology, including measurements of disease occurrence and association, study designs, and determination of causality. Contemporary"
4319,HSCI 55100,HSCI,55100,Physical Agents In Environmental Health,"Physical characterization and biological interactions of nonionizing radiation with emphasis on the adverse effects of human exposure. Topics include source characterization, environmental exposure assessment, measurement instrumentation, toxicological and epidemiological findings, control strategies."
4320,HSCI 55200,HSCI,55200,Introduction To Aerosol Science,"The principles of aerosol behavior and sampling, with particular emphasis on applications in the health sciences. Topics include aerosol aerodynamics, aerosol filtration, pulmonary deposition of aerosols, methods of environmental sampling, and generation of laboratory aerosols."
4321,HSCI 55300,HSCI,55300,Advanced Occupational Safety Management And Culture,"The Occupational Health and Safety Manager assumes a critical role within an organization protecting the employees from suffering work-related injuries, illnesses, and fatalities. This job requires a number of approaches to achieve this aim, including employee training, hazard identification and abatement, safety policy development, and incident investigation. The health and safety manager often forms a bridge between upper management and front line employees. As such, the successful health and safety manager needs to skill sets which transfer across organizational levels. This course will explore strategies managing an effective health and safety program within an organization. Management strategies will be viewed from multiple perspectives. In relation to the front line employee, topics will be explored to help engage employees in safe behaviors and dealing with situations in which failures occur, resulting in accidents. The upper management perspective will focus on the establishment of a safety management system and effective techniques for measuring and reporting safety performance. A final perspective will consider both the front line employee and upper management. This perspective will explore strategies to establish a positive safety culture within an organization to bring the front line employees and upper management together in their vision of a safe and health workplace."
4322,HSCI 56000,HSCI,56000,Toxicology,"(MCMP 56000) Introduction to general principles of toxicology, target organ toxicity, and safety evaluation. Covers toxicity of metals, solvents, pesticides, gases, dusts, and food additives."
